,loss,optimizer,activation,epochs,bottleneck,batchsize,train_loss,val_loss,combined_loss,hist_stat,hist_chi2
78,abs_err,adagrad,tanh,100,8,10,0.0461929904031,0.063014537096,0.109207527499,0.0511525453898,0.131179165544
34,abs_pct_err,adam,tanh,100,6,100,33.6487774168,59.0154151917,92.6641926084,0.145047169811,0.016892650916
24,sq_err,adam,tanh,100,4,100,0.0208480431964,0.0305692311376,0.0514172743341,0.13345496618,0.0162308281933
20,sq_err,adam,tanh,100,10,1000,0.0179868042469,0.0249152034521,0.042902007699,0.103217337131,0.013881688726
42,abs_err,adagrad,tanh,100,15,50,0.0347671385721,0.0467357262969,0.081502864869,0.0708437166251,0.0082275157104
22,sq_err,adagrad,tanh,100,6,500,0.0184301994741,0.0249978546053,0.0434280540794,0.0956968672125,0.0065931119046
69,sq_log_err,adagrad,tanh,100,5,500,0.00766074666753,0.00827539525926,0.0159361419268,0.389595941616,0.00526965670237
68,abs_err,adam,tanh,100,5,50,0.12848798771,0.15148614347,0.27997413118,0.133032217871,0.00524525616266
94,abs_err,adagrad,tanh,100,14,1000,0.0994989238679,0.112742103636,0.212241027504,0.0964088643645,0.0015240150525
56,sq_err,adadelta,tanh,100,11,50,0.00784610263405,0.0111276693642,0.0189737719983,0.0910911356355,0.000579814167161
58,sq_log_err,adam,tanh,100,10,10,0.000872645420064,0.00121144752484,0.0020840929449,0.312833748665,1.7445819817e-07
48,sq_log_err,adam,tanh,100,12,100,0.00567643775139,0.0052560986951,0.0109325364465,0.464555891776,5.02371722944e-09
9,sq_err,sgd,tanh,100,6,100,0.1065395211,0.114644251764,0.221183772864,0.309985760057,8.31051589526e-13
88,sq_log_err,adam,tanh,100,5,50,0.000987060582182,0.0019050949486,0.00289215553078,0.372063011748,1.7288410654e-16
14,sq_log_err,adagrad,tanh,100,3,100,0.00264384103606,0.00347190420143,0.0061157452375,0.301664293343,1.78644719645e-18
80,abs_pct_err,adagrad,tanh,100,3,500,63.5643371582,87.9487380981,151.513075256,0.390107689569,7.14453363812e-36
27,sq_err,sgd,tanh,100,3,100,0.103178754981,0.112984567881,0.216163322862,0.385145959416,9.38643568961e-83
65,sq_log_err,adadelta,tanh,100,10,1000,0.0125223421492,0.0129955122247,0.0255178543739,0.719717871129,6.3280755896e-171
92,sq_log_err,sgd,tanh,100,14,50,0.0146509787467,0.015231567435,0.0298825461817,0.754338732645,1.23594621213e-264
44,sq_log_err,sgd,tanh,100,5,1000,0.0323801282793,0.0319890938699,0.0643692221493,0.805980776077,4.37066878515e-276
50,sq_log_err,sgd,tanh,100,15,100,0.0287896735993,0.0291100330651,0.0578997066644,0.819708971164,9.98134669061e-306
43,sq_log_err,adam,hard_sigmoid,100,14,1000,0.00854573817924,0.00944129843265,0.0179870366119,0.813990744037,1.41049877685e-310
30,abs_err,adadelta,relu,100,10,500,0.528132772446,0.507323980331,1.03545675278,0.813990744037,1.41049877685e-310
46,sq_err,adagrad,hard_sigmoid,100,12,100,0.368160016835,0.349476844072,0.717636860907,0.813990744037,1.41049877685e-310
36,abs_err,adam,hard_sigmoid,100,4,10,0.518977266976,0.499115079641,1.01809234662,0.813990744037,1.41049877685e-310
45,abs_err,adadelta,relu,100,13,1000,0.53708666563,0.517410099506,1.05449676514,0.813990744037,1.41049877685e-310
35,abs_pct_err,adagrad,relu,100,14,50,92.9039291654,94.3493652344,187.2532944,0.813990744037,1.41049877685e-310
37,sq_log_err,adagrad,relu,100,5,10,0.000573185983896,0.00117197132204,0.00174515730593,0.813990744037,1.41049877685e-310
38,abs_pct_err,adam,relu,100,9,1000,96.2157020569,96.7204284668,192.936130524,0.813990744037,1.41049877685e-310
29,sq_err,adam,hard_sigmoid,100,12,10,0.382896664632,0.362415105104,0.745311769737,0.813990744037,1.41049877685e-310
41,abs_pct_err,sgd,hard_sigmoid,100,5,50,116.109272003,125.15788269,241.267154694,0.815459238163,1.41049877685e-310
39,sq_err,sgd,relu,100,11,50,0.377616554499,0.357348054647,0.734964609146,0.813990744037,1.41049877685e-310
99,sq_log_err,adagrad,sigmoid,100,5,10,0.000963317743195,0.00210843398236,0.00307175172555,0.813990744037,1.41049877685e-310
28,sq_err,adadelta,hard_sigmoid,100,7,10,0.36486826422,0.346147060394,0.711015324614,0.813990744037,1.41049877685e-310
26,abs_err,sgd,hard_sigmoid,100,3,100,0.584459125996,0.565313279629,1.14977240562,0.813990744037,1.41049877685e-310
1,abs_err,adagrad,hard_sigmoid,100,11,1000,0.53799316287,0.519633114338,1.05762627721,0.813990744037,1.41049877685e-310
2,sq_log_err,adagrad,hard_sigmoid,100,8,50,0.00385440673147,0.00456831604242,0.00842272277389,0.813990744037,1.41049877685e-310
4,sq_err,adadelta,hard_sigmoid,100,10,50,0.39388970126,0.373664885759,0.767554587019,0.813990744037,1.41049877685e-310
6,abs_pct_err,adam,relu,100,15,50,88.6583122526,92.751449585,181.409761838,0.813990744037,1.41049877685e-310
7,sq_err,adadelta,hard_sigmoid,100,9,1000,0.393853396177,0.375110298395,0.768963694572,0.813990744037,1.41049877685e-310
10,abs_pct_err,adam,sigmoid,100,4,1000,100.008483887,100.046325684,200.05480957,0.813990744037,1.41049877685e-310
11,sq_err,adagrad,relu,100,14,1000,0.384616568685,0.366716206074,0.751332774758,0.813990744037,1.41049877685e-310
12,sq_log_err,adagrad,sigmoid,100,12,500,0.00156372485217,0.00230729975738,0.00387102460954,0.813990744037,1.41049877685e-310
15,abs_err,adagrad,relu,100,9,500,0.534342467785,0.514477014542,1.04881948233,0.813990744037,1.41049877685e-310
16,abs_err,adagrad,relu,100,7,10,0.508997046096,0.493137776852,1.00213482295,0.813990744037,1.41049877685e-310
17,sq_err,adam,hard_sigmoid,100,6,500,0.380014109612,0.360891908407,0.740906018019,0.813990744037,1.41049877685e-310
18,sq_log_err,adam,sigmoid,100,7,10,0.00123698344188,0.00209173001349,0.00332871345537,0.813990744037,1.41049877685e-310
19,abs_err,adam,sigmoid,100,3,50,0.541257585798,0.52199858427,1.06325617007,0.813990744037,1.41049877685e-310
21,abs_err,adagrad,sigmoid,100,6,500,0.536897611618,0.516059458256,1.05295706987,0.813990744037,1.41049877685e-310
25,abs_pct_err,adagrad,sigmoid,100,5,500,96.9609771729,97.0228652954,193.983842468,0.813990744037,1.41049877685e-310
47,sq_log_err,adagrad,hard_sigmoid,100,9,50,0.00130828867467,0.00204834179021,0.00335663046488,0.813990744037,1.41049877685e-310
49,abs_pct_err,adam,relu,100,13,50,88.4533578328,90.9163970947,179.369754927,0.813990744037,1.41049877685e-310
98,abs_pct_err,sgd,hard_sigmoid,100,6,1000,99.9856147766,99.9956054688,199.981220245,0.813990744037,1.41049877685e-310
71,sq_err,adagrad,relu,100,4,100,0.380724605705,0.360213935375,0.74093854108,0.813990744037,1.41049877685e-310
51,abs_pct_err,sgd,sigmoid,100,7,500,96.9774688721,97.0003585815,193.977827454,0.813990744037,1.41049877685e-310
76,sq_err,sgd,hard_sigmoid,100,5,10,0.392906338083,0.373244702816,0.766151040899,0.813990744037,1.41049877685e-310
77,abs_pct_err,adam,relu,100,13,1000,94.4408378601,95.7295608521,190.170398712,0.813990744037,1.41049877685e-310
79,abs_err,adam,hard_sigmoid,100,3,10,0.54915319149,0.529694974422,1.07884816591,0.813990744037,1.41049877685e-310
81,abs_pct_err,adadelta,hard_sigmoid,100,4,50,94.4535989761,94.9728469849,189.426445961,0.813990744037,1.41049877685e-310
82,abs_pct_err,adam,relu,100,15,1000,96.5371742249,96.7326431274,193.269817352,0.813990744037,1.41049877685e-310
83,sq_err,adadelta,relu,100,8,10,0.36237170526,0.343867838383,0.706239543642,0.813990744037,1.41049877685e-310
85,abs_pct_err,adadelta,hard_sigmoid,100,8,100,92.450359072,93.975227356,186.425586428,0.813990744037,1.41049877685e-310
86,sq_err,adadelta,relu,100,6,100,0.367090397647,0.348446637392,0.715537035039,0.813990744037,1.41049877685e-310
87,abs_pct_err,adagrad,relu,100,13,10,100.0,99.9999542236,199.999954224,0.813990744037,1.41049877685e-310
89,abs_pct_err,sgd,hard_sigmoid,100,14,100,99.9975561414,100.000442505,199.997998646,0.813990744037,1.41049877685e-310
90,abs_pct_err,adagrad,hard_sigmoid,100,10,50,91.6925952094,92.0554885864,183.748083796,0.813990744037,1.41049877685e-310
91,sq_log_err,adam,relu,100,10,1000,0.00194411713164,0.00252321385778,0.00446733098943,0.813990744037,1.41049877685e-310
93,sq_log_err,adagrad,relu,100,14,50,0.00079205401458,0.00167140213307,0.00246345614765,0.813990744037,1.41049877685e-310
95,abs_pct_err,adagrad,sigmoid,100,11,50,92.2497486387,92.9303436279,185.180092267,0.813990744037,1.41049877685e-310
96,sq_log_err,adagrad,sigmoid,100,15,50,0.000900552035351,0.00186796020716,0.00276851224252,0.813990744037,1.41049877685e-310
97,abs_pct_err,sgd,hard_sigmoid,100,6,500,99.9860366821,100.000488281,199.986524963,0.813990744037,1.41049877685e-310
73,sq_log_err,sgd,relu,100,12,50,0.0268231094482,0.02613969706,0.0529628065082,0.821110715557,1.41049877685e-310
0,sq_err,adam,hard_sigmoid,100,5,1000,0.39575406909,0.375508397818,0.771262466908,0.813990744037,1.41049877685e-310
59,sq_log_err,adadelta,hard_sigmoid,100,12,100,0.00279696678211,0.00350607885048,0.00630304563258,0.813990744037,1.41049877685e-310
55,sq_err,adagrad,relu,100,11,10,0.370462677841,0.349650472403,0.720113150243,0.813990744037,1.41049877685e-310
67,sq_err,adagrad,sigmoid,100,10,10,0.370287122897,0.349697798491,0.719984921387,0.813990744037,1.41049877685e-310
52,abs_pct_err,adam,relu,100,4,10,90.8258290972,93.2090759277,184.034905025,0.813990744037,1.41049877685e-310
66,sq_log_err,adagrad,hard_sigmoid,100,14,10,0.00132456551281,0.00200103013776,0.00332559565057,0.813990744037,1.41049877685e-310
53,abs_pct_err,sgd,relu,100,6,1000,100.0,100.0,200.0,0.813990744037,1.41049877685e-310
64,abs_err,adagrad,sigmoid,100,13,100,0.513097628951,0.496390640736,1.00948826969,0.813990744037,1.41049877685e-310
54,sq_log_err,adadelta,sigmoid,100,12,10,0.00105274626694,0.0018714935286,0.00292423979554,0.814012993948,1.41049877685e-310
62,abs_pct_err,adagrad,relu,100,13,1000,95.7663764954,96.2958984375,192.062274933,0.813990744037,1.41049877685e-310
70,sq_err,adadelta,hard_sigmoid,100,15,50,0.378736958972,0.359250724316,0.737987683288,0.813990744037,1.41049877685e-310
61,abs_err,sgd,relu,100,10,10,0.534132040186,0.515001118183,1.04913315837,0.813990744037,1.41049877685e-310
60,sq_err,adagrad,sigmoid,100,9,1000,0.379318848252,0.359317690134,0.738636538386,0.813990744037,1.41049877685e-310
8,abs_err,adadelta,sigmoid,100,12,1000,0.557419329882,0.538098037243,1.09551736712,0.814012993948,1.40491758221e-310
13,abs_pct_err,adagrad,tanh,100,3,50,84.0558456693,101.429611206,185.485456875,0.734091313635,1.38752773529e-310
31,sq_log_err,adadelta,relu,100,15,100,0.00646114083273,0.00666288752109,0.0131240283538,0.814747241011,1.38637518656e-310
84,sq_log_err,sgd,sigmoid,100,11,10,0.0124756719518,0.0127080809325,0.0251837528843,0.831990922036,1.37761542449e-310
74,abs_pct_err,sgd,tanh,100,3,50,569.447422573,227.686248779,797.133671352,0.755829476682,1.37761542449e-310
3,abs_pct_err,adam,sigmoid,100,10,1000,99.6910018921,99.8012084961,199.492210388,0.814079743681,5.70069426565e-312
5,abs_err,sgd,hard_sigmoid,100,6,100,0.585500193494,0.565983176231,1.15148336973,0.814613741545,3.28833523603e-312
40,sq_log_err,sgd,relu,100,8,50,0.0172149995675,0.0175490863621,0.0347640859296,0.833948914204,1.9781457541e-315
33,sq_log_err,sgd,tanh,100,10,100,0.0181018342929,0.0182793438435,0.0363811781364,0.806470274119,1.9781457541e-315
23,sq_log_err,sgd,tanh,100,7,100,0.0215592243975,0.0217806976289,0.0433399220263,0.822312210751,3.51139737027e-316
57,sq_log_err,sgd,hard_sigmoid,100,15,100,0.0211875675512,0.0213650651276,0.0425526326788,0.830989676041,9.86500875051e-320
72,sq_log_err,sgd,hard_sigmoid,100,3,100,0.11502858544,0.11440423131,0.22943281675,0.910644357423,1.19563886294e-321
75,sq_log_err,sgd,sigmoid,100,4,100,0.0655842950302,0.0654238164425,0.131008111473,0.889951940192,5.43472210425e-323
32,abs_pct_err,sgd,tanh,100,11,1000,524.974098206,1054.75170898,1579.72580719,0.998798504806,0.0
